username,Languages
User:Runner1928,"['en', 'de-1']"
User:Capmo,"['pt', 'en-3', 'es-2', 'it-2', 'fr-2', 'la-1']"
User:H-stt,"['de', 'en-3', 'fr-1', 'la-1']"
User:KartikMistry,"['gu-N', 'en-3', 'hi-3', 'mr-1', 'sa-1', 'simple-2']"
User:Amire80,"['ru', 'he-5', 'en-4', 'ca-3']"
User:Wittylama,"['en-AU', 'fr-3', 'it-3', 'sv-1']"
